"2 (OG/fSOM)"	"5 (UMAP/fSOM)"	"1 (Manual)"	"4 (OG/fSOM)"	"7 (t-SNE/fSOM)"	"10 (UMAP/fSOM)"	"3 (OG/fSOM)"	"6 (t-SNE/fSOM)"	"8 (t-SNE/fSOM)"	"5 (t-SNE/fSOM)"	"4 (t-SNE/fSOM)"	"10 (OG/fSOM)"	"2 (Manual)"	"10 (t-SNE/fSOM)"	"3 (UMAP/fSOM)"	"1 (OG/fSOM)"	"6 (Manual)"	"7 (UMAP/fSOM)"	"2 (t-SNE/fSOM)"	"3 (Manual)"	"5 (OG/fSOM)"	"4 (UMAP/fSOM)"	"3 (t-SNE/fSOM)"	"8 (OG/fSOM)"	"7 (OG/fSOM)"	"7 (Manual)"	"9 (t-SNE/fSOM)"	"1 (UMAP/fSOM)"	"8 (UMAP/fSOM)"	"9 (OG/fSOM)"	"4 (Manual)"	"6 (OG/fSOM)"	"5 (Manual)"	"1 (t-SNE/fSOM)"	"9 (UMAP/fSOM)"
"9 (UMAP/fSOM)"	72.6248819531216	75.6535453043005	75.6832253492737	84.5719217062042	83.2932886687254	83.2954948079022	79.1264630638431	76.4350503707691	76.4246789739042	76.9890635924157	78.300189822585	84.3623263081667	82.8001480201867	82.8023385470054	82.8041288981002	87.7514998069273	87.3833633157139	87.3733796664876	87.3731999641603	90.0209365461658	88.393489243703	88.8068010408962	88.8089801792325	90.1402989270356	89.9714659302863	89.8472979825121	89.8365278877421	89.8372255885389	92.3921844437101	92.5596935369398	96.2056656032822	99.0766220148595	99.1967659260607	99.9917453846148	100
"1 (t-SNE/fSOM)"	72.6234745402193	75.6525699904633	75.6822523108465	84.5728862290354	83.2943057817747	83.2965259359461	79.1274139337067	76.4360376525377	76.4258374785389	76.990555663474	78.3007512523644	84.3617781955422	82.799364714829	82.8015499086408	82.8033392307962	87.7517861722171	87.3836617061439	87.3736918812135	87.3735121756399	90.0207979714206	88.3932369767718	88.8069550203163	88.8091305711691	90.137424813781	89.9687154231005	89.8444554090546	89.8336766944393	89.8343766864115	92.388991074751	92.5565492669308	96.2026616601022	99.0765373671262	99.2003694475056	100	99.9917453846148
"5 (Manual)"	72.4187498473256	75.3922916368154	75.4218828088322	84.4278684980116	83.1626913556465	83.1646511757979	78.945797221545	76.2793532185287	76.2845434241544	76.8115546405099	78.133543567451	84.1899450031006	82.653126348723	82.655214277627	82.6569837101357	87.5058499251985	87.1455482197398	87.1362877779393	87.1360993074954	89.7525267349858	88.1560513459661	88.5655800432547	88.5678928642893	89.8896138773178	89.747356526062	89.6342772153578	89.6234589287044	89.6239311543262	92.0348419023433	92.1930042049762	95.5073534584122	98.6507541954848	100	99.2003694475056	99.1967659260607
"6 (OG/fSOM)"	73.3278363263887	76.371656761449	76.4019511883992	85.2464824068439	83.9359138060047	83.9383805454544	80.0114245869613	77.3020797014897	77.3126274576803	77.8469359677791	79.1677989558221	85.1793407049009	83.394557715388	83.3968476261258	83.3986550463563	88.2345850629645	87.8102412848126	87.8018402908193	87.8019125511706	90.608467605933	88.9075051205506	89.2771473355781	89.2799905105208	90.5997217906959	90.4697878998104	90.2786202326926	90.2691564215664	90.2701772647992	92.6335229678483	92.9021093140018	96.3738576405008	100	98.6507541954848	99.0765373671262	99.0766220148595
"4 (Manual)"	73.2539218782957	76.0750991362456	76.1048241197313	85.3800245725844	84.0723206602373	84.077410187043	79.6906336397172	77.0904637442445	77.1842445140373	77.4685170070604	78.6722033076292	85.1056527461446	83.376655885654	83.3797126858439	83.3818320766509	88.6124922689922	88.226352078788	88.2195851418395	88.2193171420912	90.9679733267221	89.5246132931273	89.8288719738261	89.8288139149208	90.9624951568568	90.7107068102147	90.5480183013772	90.5379836061172	90.5384519850826	93.643401680593	93.8442477558468	100	96.3738576405008	95.5073534584122	96.2026616601022	96.2056656032822
"9 (OG/fSOM)"	73.9840336378795	76.8754982597399	76.9064665305746	85.8603254822702	84.6053517387109	84.5965435776226	80.3296762598437	77.924125693268	77.8049744314093	77.817666498519	79.0629057084487	85.3748864221137	83.1098261454152	83.1129773457349	83.1161709146516	88.8394731231657	88.4124753365234	88.4046084815484	88.4051428690901	90.8824209966778	89.0766544619947	89.626950477717	89.6261669088387	91.0902349063179	91.188555166575	90.9545367251991	90.9586184191684	90.9566239893956	99.1040434136242	100	93.8442477558468	92.9021093140018	92.1930042049762	92.5565492669308	92.5596935369398
"8 (UMAP/fSOM)"	73.3285549254242	76.2005237690916	76.2309023468327	85.2522473460131	84.0305527890543	84.0214322416522	79.4880476758124	77.1132089596141	76.9719148359789	76.9940507120751	78.2147008470155	84.602662455875	82.5420736858207	82.5451347773789	82.5483721689205	88.4428059618864	88.0749541431176	88.065594492526	88.0658714788763	90.3677151145645	88.6364741489037	89.2389272019399	89.2371962125721	90.6892254543523	90.7456493315639	90.5815446751246	90.5844957515599	90.5820923549993	100	99.1040434136242	93.643401680593	92.6335229678483	92.0348419023433	92.388991074751	92.3921844437101
"1 (UMAP/fSOM)"	72.0603741521871	74.0525265507038	74.08280510959	83.9810029450802	82.5478008458548	82.5410657137018	80.2092052106615	77.1440205815492	77.6477710229292	77.3171590570074	79.0776699403397	87.7544293519349	86.6734421747129	86.6836362614832	86.6840593290854	87.4853652066744	86.9850651208137	86.980196096406	86.9801471804115	89.859972761586	90.3457062808753	90.2850116312938	90.2939093472489	96.3119978266388	99.168982390519	99.9599058112288	99.9890276399863	100	90.5820923549993	90.9566239893956	90.5384519850826	90.2701772647992	89.6239311543262	89.8343766864115	89.8372255885389
"9 (t-SNE/fSOM)"	72.0569456405127	74.0481685498982	74.0784424028823	83.9813063991102	82.5484156322606	82.5416683172121	80.2048570877816	77.1408411016881	77.6447077999926	77.3126134805152	79.0736734398728	87.7498479781872	86.6683015166423	86.6784930424772	86.6789183650987	87.4835003596941	86.9834515676339	86.9785937244918	86.978544277722	89.8593304906927	90.3449226973058	90.2842955156903	90.2931909571085	96.310940264274	99.1646630198993	99.960959564971	100	99.9890276399863	90.5844957515599	90.9586184191684	90.5379836061172	90.2691564215664	89.6234589287044	89.8336766944393	89.8365278877421
"7 (Manual)"	72.036142042695	74.0321724138647	74.0624953119621	83.9790617532535	82.5462700124499	82.5395893981921	80.1929835743584	77.1288587904747	77.632608183035	77.3031016319252	79.0625268220091	87.7349699913206	86.6579606413004	86.6681452182001	86.66856554317	87.4936106907544	86.9947208312767	86.9898512610651	86.9897939235412	89.8692988072365	90.3576108258336	90.2982087394319	90.3071044327428	96.3157372666464	99.1496423241903	100	99.960959564971	99.9599058112288	90.5815446751246	90.9545367251991	90.5480183013772	90.2786202326926	89.6342772153578	89.8444554090546	89.8472979825121
