"7 (OG/fSOM)"	"3 (UMAP/fSOM)"	"1 (Manual)"	"2 (OG/fSOM)"	"3 (t-SNE/fSOM)"	"2 (UMAP/fSOM)"	"7 (t-SNE/fSOM)"	"10 (OG/fSOM)"	"2 (t-SNE/fSOM)"	"9 (t-SNE/fSOM)"	"6 (t-SNE/fSOM)"	"2 (Manual)"	"8 (t-SNE/fSOM)"	"6 (UMAP/fSOM)"	"3 (OG/fSOM)"	"5 (t-SNE/fSOM)"	"6 (Manual)"	"4 (UMAP/fSOM)"	"9 (OG/fSOM)"	"8 (OG/fSOM)"	"4 (t-SNE/fSOM)"	"3 (Manual)"	"4 (OG/fSOM)"	"7 (UMAP/fSOM)"	"6 (OG/fSOM)"	"7 (Manual)"	"1 (t-SNE/fSOM)"	"8 (UMAP/fSOM)"	"9 (UMAP/fSOM)"	"5 (UMAP/fSOM)"	"5 (OG/fSOM)"	"4 (Manual)"	"1 (OG/fSOM)"	"5 (Manual)"	"10 (t-SNE/fSOM)"	"1 (UMAP/fSOM)"
"1 (UMAP/fSOM)"	72.6090529346155	75.6560331199044	75.6855290372015	84.521070074088	83.2930708921991	83.2965510254935	78.3290149729238	78.9389674316153	77.2409926189553	75.6852333735384	76.7101758891031	82.8013905777763	82.8053715282926	82.8065678699063	87.6916785326976	87.2351236509039	87.3848621504681	87.3747769831814	87.8811947941377	89.1433337215065	89.0863345770931	90.0224828453689	88.3696654048725	88.8071392180058	89.9851786321081	89.8492342995983	89.8404316926098	89.8404200788522	91.9443910272629	92.3293092723675	92.6108430795457	96.20689097635	99.0394688327558	99.1953345064202	99.9956384151468	100
"10 (t-SNE/fSOM)"	72.6071269814863	75.654233547426	75.6837295634915	84.5205349911067	83.2926701609064	83.296153738134	78.327837005296	78.9377798684108	77.2401107485271	75.6844354281433	76.7093490676124	82.8000051261389	82.8039823480163	82.8051784413331	87.6908202500524	87.234306321537	87.3841009442018	87.3740214253037	87.8799236942864	89.1427935788768	89.0858363043507	90.0213133920266	88.3686032107992	88.8062267087634	89.9828129885049	89.8469375169149	89.8381303445676	89.8381190268081	91.9418990197242	92.3275162995601	92.6088654400779	96.205503506492	99.0378435640218	99.1973641061286	100	99.9956384151468
"5 (Manual)"	72.4007308821956	75.3924712098678	75.4218828088322	84.3765063207203	83.1616599442671	83.1648707568996	78.1727924498253	78.7602460084005	77.0595819207446	75.5285530581951	76.570682670822	82.653126348723	82.6569755361757	82.6581606278049	87.4457028134547	86.99824508188	87.1455482197398	87.1361962808263	87.6838830267963	88.8831334380843	88.8463421214188	89.7525267349858	88.1316782969938	88.5646373432476	89.7574699607273	89.6342772153578	89.6253400405167	89.6253491572675	91.6075045146354	91.9728029954535	92.240534818404	95.5073534584122	98.6195821502353	100	99.1973641061286	99.1953345064202
"1 (OG/fSOM)"	73.3385220127655	76.4015972009952	76.4317114059739	85.2233013945327	83.9609371984167	83.964784093856	79.2376574708777	79.8582030401493	78.1281723526696	76.5891163126934	77.6361083861143	83.4197732832644	83.4238710409928	83.4250661226864	88.1931085192922	87.6788346067755	87.8268752853253	87.8185155971293	88.5394937283318	89.6703031720508	89.5522372693748	90.6315074843952	88.9065546791239	89.2947256995969	90.5050353605913	90.2953039717799	90.2878042015329	90.2878421349931	92.3877333633263	92.5713487887163	92.9666484514968	96.3756132201404	100	98.6195821502353	99.0378435640218	99.0394688327558
"4 (Manual)"	73.2369343857481	76.0753222334393	76.1048241197313	85.3293379235408	84.0712411306288	84.0776399494878	78.7857252091709	79.4722668278173	77.6825563113868	76.3467557176643	77.444677431364	83.376655885654	83.3819314087195	83.383348597097	88.5620529864284	88.0722695229145	88.226352078788	88.219458990315	88.6129160046525	89.7702006244276	89.9861447091953	90.9679733267221	89.4962772978479	89.8268932921286	90.7249157128688	90.5480183013772	90.5392788689844	90.5393892694979	93.1551793686712	93.59220812508	93.8853179857068	100	96.3756132201404	95.5073534584122	96.205503506492	96.20689097635
"5 (OG/fSOM)"	73.9763344453992	76.8952688706282	76.9261616576424	85.8507778290498	84.6376824460229	84.6304473455559	79.501967131597	80.1742229961743	78.0202678074121	77.3180916979813	78.018047939954	83.1366335953071	83.1429327546661	83.1442849906675	88.8285569395871	88.3705340529656	88.4377701657563	88.4300071821361	88.9015230853678	89.9047773548835	89.6568377434215	90.9209695158656	89.0911911795293	89.6530249532029	91.2204955295922	90.9694702283153	90.9710969049171	90.9710028095656	93.6239833358044	98.9804473845306	100	93.8853179857068	92.9666484514968	92.240534818404	92.6088654400779	92.6108430795457
"5 (UMAP/fSOM)"	73.2814506594758	76.1648535442407	76.1950657808518	85.1891285536053	84.0224182137473	84.0142952816914	78.5936042524422	79.241084035165	77.1017414056191	76.4558135442214	77.1141770608341	82.5010794536413	82.5074209505032	82.5087980552019	88.3610671351811	87.9677612328075	88.0340726003706	88.0247144437891	88.2515156475379	89.3693064187195	89.2163358776288	90.3307243450582	88.6026016873791	89.2057916726864	90.705854022227	90.5344160692177	90.5349657484404	90.5348066794218	93.2511040582326	100	98.9804473845306	93.59220812508	92.5713487887163	91.9728029954535	92.3275162995601	92.3293092723675
"9 (UMAP/fSOM)"	74.4408656615885	76.4601020848409	76.4902286717826	85.660459461813	84.2729997168933	84.2706931119139	79.4757508978591	80.2782982141629	77.93932436483	76.8076407035956	78.3787084829989	85.6777568931242	85.6886924838709	85.690697639777	89.0873226544321	88.584297923185	88.6433437860127	88.6395757117989	89.7705104928374	89.9871483155487	90.0065090752456	91.3857675681653	90.0023320810137	90.1730548155147	93.294715384428	93.0525397517379	93.0523669632077	93.0531105306014	100	93.2511040582326	93.6239833358044	93.1551793686712	92.3877333633263	91.6075045146354	91.9418990197242	91.9443910272629
"8 (UMAP/fSOM)"	72.0344880815821	74.0477944099115	74.07769941793	83.9343290454328	82.5470795469109	82.5420178552291	79.3646798966805	80.0269064081077	77.4640848709774	76.5571700823825	77.9304841084716	86.6693282515071	86.6807744931456	86.6828248008505	87.4463633183087	86.9114110754684	86.986340518008	86.9812667922019	88.6896227655499	87.6578675772277	88.372346949937	89.8612382919142	90.3368928022659	90.2890961098578	99.1122349210006	99.967402353062	99.996975991286	100	93.0531105306014	90.5348066794218	90.9710028095656	90.5393892694979	90.2878421349931	89.6253491572675	89.8381190268081	89.8404200788522
"1 (t-SNE/fSOM)"	72.0343999030069	74.048149486383	74.0780516844632	83.9338678459259	82.5467250545844	82.5416579322755	79.3646740634338	80.0265470263231	77.4637841025049	76.5570039366814	77.9298560779057	86.66805004902	86.6794946936446	86.6815447048365	87.44556083547	86.9106332710231	86.9855576094146	86.9804769598082	88.6888383126353	87.6569806113554	88.3715020877867	89.8606132084096	90.3363518191186	90.2884680958143	99.1118918948668	99.9667172201198	100	99.996975991286	93.0523669632077	90.5349657484404	90.9710969049171	90.5392788689844	90.2878042015329	89.6253400405167	89.8381303445676	89.8404316926098
"7 (Manual)"	72.0152439092953	74.032550639038	74.0624953119621	83.931780023447	82.544897020454	82.539881926145	79.3523443672962	80.0140399735898	77.4535077118477	76.5450289149261	77.9185620096275	86.6579606413004	86.6693994238102	86.6714507707858	87.4535360150866	86.9191673213099	86.9947208312767	86.9896351389476	88.6930911589335	87.6639432253575	88.3839982514191	89.8692988072365	90.347707211725	90.3006980371361	99.0971498576892	100	99.9667172201198	99.967402353062	93.0525397517379	90.5344160692177	90.9694702283153	90.5480183013772	90.2953039717799	89.6342772153578	89.8469375169149	89.8492342995983
"6 (OG/fSOM)"	72.7915085350223	74.8651085407225	74.8954143651798	84.5622366702691	83.156634253912	83.1520312427709	80.2072174396411	80.8810165938436	78.3140969047959	77.3993920893243	78.7739165400515	87.0577171290979	87.0691048683284	87.0711240583911	87.8513028653276	87.2675027645145	87.3412446660234	87.337444346322	89.2197345236985	88.1092463514128	88.7307967279813	90.33823218789	90.6957403119784	90.601359727034	100	99.0971498576892	99.1118918948668	99.1122349210006	93.294715384428	90.705854022227	91.2204955295922	90.7249157128688	90.5050353605913	89.7574699607273	89.9828129885049	89.9851786321081
"7 (UMAP/fSOM)"	71.0389084558052	75.4466904468071	75.4828401675098	88.7004763353106	87.6669005036917	87.6805983755871	81.2511433404562	82.0847284171442	80.5310369800784	79.032204134005	80.2520567060747	81.5069116811049	81.5162433094108	81.5180349976974	91.9369887624773	91.4143004915523	91.573507256427	91.5828437685824	92.6386347912971	93.1962303393523	95.6477745213863	96.3336002440317	98.0135848683545	100	90.601359727034	90.3006980371361	90.2884680958143	90.2890961098578	90.1730548155147	89.2057916726864	89.6530249532029	89.8268932921286	89.2947256995969	88.5646373432476	88.8062267087634	88.8071392180058
