"1 (Manual)"	"9 (UMAP/fSOM)"	"2 (OG/fSOM)"	"4 (t-SNE/fSOM)"	"2 (t-SNE/fSOM)"	"6 (t-SNE/fSOM)"	"8 (t-SNE/fSOM)"	"2 (Manual)"	"3 (OG/fSOM)"	"4 (UMAP/fSOM)"	"3 (t-SNE/fSOM)"	"6 (OG/fSOM)"	"10 (t-SNE/fSOM)"	"7 (UMAP/fSOM)"	"3 (Manual)"	"9 (OG/fSOM)"	"2 (UMAP/fSOM)"	"9 (t-SNE/fSOM)"	"7 (OG/fSOM)"	"8 (OG/fSOM)"	"6 (Manual)"	"1 (UMAP/fSOM)"	"5 (t-SNE/fSOM)"	"7 (Manual)"	"3 (UMAP/fSOM)"	"1 (OG/fSOM)"	"7 (t-SNE/fSOM)"	"10 (OG/fSOM)"	"6 (UMAP/fSOM)"	"5 (OG/fSOM)"	"4 (Manual)"	"5 (Manual)"	"4 (OG/fSOM)"	"1 (t-SNE/fSOM)"	"5 (UMAP/fSOM)"
"5 (UMAP/fSOM)"	75.6841400238099	75.6533367912715	75.6590112852919	78.358856246506	76.2131474868459	76.7090589808843	77.2940892225956	82.800207664099	82.8160173700597	82.8041903508877	82.8041865964354	83.3577793825894	83.2922601423508	83.2955190894503	90.0213022996088	88.2443601706755	88.8049988299629	88.8089194221587	88.9198611465316	87.3979213550521	87.384042094599	87.3735719976369	87.3729898936529	89.8476122420708	89.8377732887128	89.8373089873211	89.8388063755975	92.9255150831456	92.3930312508753	92.6403825316559	96.2056310962614	99.1967990427519	99.9656455378147	99.9957473694178	100
"1 (t-SNE/fSOM)"	75.6826051285426	75.651801695154	75.6574764629547	78.3582673258495	76.2127072762949	76.7087216757537	77.2937949881296	82.7995968692837	82.8154014093159	82.8035759266975	82.8035718632331	83.3573799523004	83.2918577807398	83.2951167177127	90.0201615098407	88.2431073607611	88.8040372570842	88.8079574931802	88.9197433664814	87.3971726763541	87.3832921998517	87.3728270195242	87.3722446728333	89.8460420295058	89.8361999963764	89.8357367282483	89.8372339849442	92.9256082310985	92.3910731582481	92.6384150224429	96.203470247773	99.1990225587564	99.9687482445535	100	99.9957473694178
"4 (OG/fSOM)"	75.6712253919245	75.6404214054209	75.6460935823065	78.3527000577054	76.2083161293222	76.7044578005461	77.2890469415087	82.7930893554811	82.8088742525479	82.7970547419591	82.7970489777969	83.3542481085246	83.288532314842	83.2918600474363	90.0120122530539	88.236705528834	88.797239690467	88.8011488634765	88.9124117368133	87.3893642167069	87.3754075448008	87.3650034067175	87.3644210898436	89.834519682504	89.8246319523657	89.8241849743212	89.82567795974	92.924249040014	92.3715378563711	92.6190067338841	96.1847332528422	99.2221064953231	100	99.9687482445535	99.9656455378147
"5 (Manual)"	75.4218828088322	75.3911686793606	75.3967877403317	78.2031076574141	76.0591792703255	76.5388150827867	77.1155590373751	82.653126348723	82.6687533105613	82.6569837101357	82.6569755361757	83.2277904445432	83.1616599442671	83.1646511757979	89.7525267349858	88.0122714399992	88.563595503216	88.5673805283309	88.6663206295901	87.1597367730737	87.1455482197398	87.1358311946023	87.1352332855396	89.6342772153578	89.6241365077998	89.6239262671574	89.6253400405167	92.7507815080781	92.0348419023433	92.2724766510902	95.5073534584122	100	99.2221064953231	99.1990225587564	99.1967990427519
"4 (Manual)"	76.1048241197313	76.0740512062782	76.0792654228895	78.8122893615672	76.9082779991217	77.2762276173242	77.7538052535211	83.376655885654	83.3940327114094	83.3818320766509	83.3819314087195	84.1470349126025	84.0712411306288	84.077410187043	90.9679733267221	89.3673333212871	89.8240560623174	89.8282336621675	89.5193301343679	88.2428685215534	88.226352078788	88.2188493325774	88.2183637886306	90.5480183013772	90.5387461869145	90.5376784855544	90.5392788689844	93.0944879593538	93.643401680593	93.9203999046996	100	95.5073534584122	96.1847332528422	96.203470247773	96.2056310962614
"5 (OG/fSOM)"	76.2116072649239	76.1801680367805	76.1860274951932	78.5689175605017	76.949988190367	76.9166159794756	77.2588889527493	82.5540421705821	82.5726036310045	82.5602238486408	82.5602544227789	84.098767924754	84.0471921000179	84.040226799595	90.4235538372805	88.5312654328007	89.2891983777929	89.2933590421279	89.2306769513815	88.1152210188068	88.1149317013028	88.105654406515	88.1051612574613	90.5709122059029	90.5709887046797	90.5689000381194	90.5708590589099	90.9557212934757	99.5418709210795	100	93.9203999046996	92.2724766510902	92.6190067338841	92.6384150224429	92.6403825316559
"6 (UMAP/fSOM)"	76.2309023468327	76.1995073796922	76.2053783448121	78.5782926144316	76.9611771401368	76.8908195717433	77.2290024909841	82.5420736858207	82.5607642438667	82.5483721689205	82.5484152921721	84.0785856357132	84.0294898039962	84.0214322416522	90.3677151145645	88.4794684479805	89.2324023692266	89.2365814814806	89.1524606677098	88.0745991507194	88.0749541431176	88.0654211609333	88.0649324192897	90.5815446751246	90.5823322112691	90.5801530139259	90.5820913779946	90.7501860537233	100	99.5418709210795	93.643401680593	92.0348419023433	92.3715378563711	92.3910731582481	92.3930312508753
"10 (OG/fSOM)"	76.7027848639561	76.6766740739106	76.6835109861653	80.7754012382311	78.8656798063306	79.4649701517008	79.956020114289	82.4705855765027	82.4854738518005	82.4744518771318	82.4745953674178	87.0492226014763	86.9853581833881	86.9988031042998	91.8582069381928	89.7157439201514	90.7314298844234	90.7343443371752	91.3054300007034	90.9760745152294	90.9511929062929	90.9539028021345	90.9536359159266	88.8193967772534	88.8105948233892	88.8104272689732	88.8115508559534	100	90.7501860537233	90.9557212934757	93.0944879593538	92.7507815080781	92.924249040014	92.9256082310985	92.9255150831456
"7 (t-SNE/fSOM)"	74.0780516844632	74.047182639535	74.0509150041291	79.254498270865	76.9880481775893	77.2917590981096	77.6334276953935	86.66805004902	86.6920187856216	86.6786636842952	86.6794946936446	82.6314500938102	82.5467250545844	82.541365081934	89.8606132084096	90.2503943033112	90.2910692073853	90.294096529126	87.1807787288716	86.993785555602	86.9855576094146	86.9803499979712	86.9793880827148	99.9667172201198	99.9902709199626	99.9961135416915	100	88.8115508559534	90.5820913779946	90.5708590589099	90.5392788689844	89.6253400405167	89.82567795974	89.8372339849442	89.8388063755975
"1 (OG/fSOM)"	74.0765339580111	74.0456611296589	74.0493940219076	79.2543511116774	76.9877863768195	77.2911486528908	77.6327672359431	86.6673127883994	86.6912828368405	86.677927983849	86.6787594770758	82.6308871214867	82.546165707471	82.540805021824	89.8601981750163	90.2508436842795	90.2910834747439	90.2941088119377	87.1795625399646	86.9930903800819	86.9848525230226	86.9796471923662	86.978685418204	99.9676506285905	99.9887865958455	100	99.9961135416915	88.8104272689732	90.5801530139259	90.5689000381194	90.5376784855544	89.6239262671574	89.8241849743212	89.8357367282483	89.8373089873211
